"id_harp_rosca","bg_female","bg_married","bg_b1_age","encouragement","safe_box","locked_box","fol2_amtinvest","has_followup2"
2033,1,1,23,0,0,1,60,1
2033,1,1,55,0,0,1,860,1
2034,1,0,48,0,1,0,60,1
2034,1,1,36,0,1,0,120,1
2035,1,1,40,0,0,1,120,1
2035,1,1,28,0,0,1,60,1
2035,1,1,48,0,0,1,0,1
2035,1,0,52,0,0,1,20,1
2035,1,1,46,0,0,1,30,1
2035,1,1,35,0,0,1,670,1
2035,1,0,58,0,0,1,620,1
2035,1,1,43,0,0,1,120,1
2035,1,1,47,0,0,1,60,1
2035,1,1,49,0,0,1,40,1
