primaryTitle,titleType,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
Monsoon Wedding,movie,2001,NA,114,"Comedy,Drama,Romance",7.3,23108
Private Benjamin,movie,1980,NA,109,"Comedy,War",6.2,23100
The Contract,movie,2006,NA,96,"Action,Crime,Drama",5.6,23099
Stakeout,movie,1987,NA,117,"Action,Comedy,Crime",6.6,23089
Fierce Creatures,movie,1997,NA,93,Comedy,6.4,23084
Heaven,movie,2002,NA,97,"Crime,Drama,Romance",7,23084
On Body and Soul,movie,2017,NA,116,"Drama,Fantasy,Mystery",7.6,23083
Fly,tvEpisode,2010,NA,47,"Crime,Drama,Thriller",7.8,23077
Bloody Sunday,movie,2002,NA,107,"Drama,History,War",7.6,23071
"Dark Wings, Dark Words",tvEpisode,2013,NA,56,"Action,Adventure,Drama",8.6,23066
The Shadow,movie,1994,NA,108,"Action,Adventure,Crime",6.1,23049
Garden of Bones,tvEpisode,2012,NA,51,"Action,Adventure,Drama",8.8,23046
The Art of the Steal,movie,2013,NA,90,"Comedy,Crime,Thriller",6.3,23036
The Accidental Husband,movie,2008,NA,90,"Comedy,Romance",5.6,23008
The Girl Next Door,movie,2007,NA,91,"Crime,Drama,Horror",6.6,22998
Reaper,tvSeries,2007,2009,45,"Adventure,Comedy,Drama",7.7,22994
The Black Hole,movie,1979,NA,98,"Action,Sci-Fi",6,22991
The Ice Harvest,movie,2005,NA,92,"Comedy,Crime,Drama",6.3,22989
Kim Possible,tvSeries,2002,2007,30,"Action,Adventure,Animation",7.2,22971
Zero,movie,2018,NA,164,"Comedy,Drama,Romance",5.4,22968
Under the Shadow,movie,2016,NA,84,"Drama,Horror,Thriller",6.9,22966
I See You,movie,2019,NA,98,"Crime,Drama,Horror",6.8,22952
Rampart,movie,2011,NA,108,"Crime,Drama",5.8,22946
Leprechaun,movie,1993,NA,92,"Comedy,Fantasy,Horror",4.8,22937
You Can't Take It with You,movie,1938,NA,126,"Comedy,Drama,Romance",7.9,22925
Life or Something Like It,movie,2002,NA,103,"Comedy,Romance",5.8,22923
Beaches,movie,1988,NA,123,"Comedy,Drama,Music",7,22922
The Ref,movie,1994,NA,96,"Comedy,Crime,Drama",6.9,22922
Studio 60 on the Sunset Strip,tvSeries,2006,2007,44,"Comedy,Drama",8.2,22911
An American Werewolf in Paris,movie,1997,NA,105,"Comedy,Fantasy,Horror",5.1,22909
Thuppakki,movie,2012,NA,165,"Action,Thriller",7.9,22903
The Vanishing,movie,1993,NA,109,"Drama,Horror,Mystery",6.3,22902
Nights in Rodanthe,movie,2008,NA,97,"Drama,Romance",6,22897
Border,movie,2018,NA,110,"Crime,Drama,Fantasy",7,22896
Immortal Beloved,movie,1994,NA,121,"Biography,Drama,Music",7.4,22889
Calendar Girls,movie,2003,NA,108,"Comedy,Drama",6.9,22885
Masaan,movie,2015,NA,109,Drama,8.2,22878
The Mummy,movie,1932,NA,73,"Fantasy,Horror",7.1,22848
Kazaam,movie,1996,NA,93,"Comedy,Family,Fantasy",3,22843
Nothing to Lose,movie,2018,NA,134,"Biography,Drama",5.5,22843
Daria,tvSeries,1997,2001,30,"Animation,Comedy,Drama",8,22837
Rustom,movie,2016,NA,148,"Crime,Drama,Thriller",7.1,22837
The Bear and the Maiden Fair,tvEpisode,2013,NA,58,"Action,Adventure,Drama",8.7,22832
Phenomena,movie,1985,NA,116,"Horror,Mystery",6.8,22831
Human Traffic,movie,1999,NA,99,"Comedy,Music",7.1,22807
The Pyramid,movie,2014,NA,89,"Horror,Mystery,Thriller",4.6,22804
Every Which Way but Loose,movie,1978,NA,114,"Action,Comedy",6.4,22793
You're the Worst,tvSeries,2014,2019,30,"Comedy,Drama,Romance",8.1,22787
Camelot,tvSeries,2011,2011,45,"Drama,Fantasy,History",6.5,22778
No,movie,2012,NA,118,Drama,7.4,22777
Mystery Science Theater 3000,tvSeries,1988,2015,92,"Comedy,Sci-Fi",8.5,22749
Nashville,tvSeries,2012,2018,43,"Drama,Music,Romance",7.7,22749
House,movie,1985,NA,93,"Comedy,Fantasy,Horror",6.2,22747
Barefoot,movie,2014,NA,90,"Comedy,Drama,Romance",6.6,22746
Who Goes There,tvEpisode,2014,NA,56,"Crime,Drama,Mystery",9.7,22744
Love & Friendship,movie,2016,NA,90,"Comedy,Drama,Romance",6.4,22741
